Martin, 1,	14,	23
Martin,	2,	27,	23
Martin,	3,	41,	18
Martin,	4,	46,	13
Martin,	5,	61,	19
Seiryu,	1,	38,	20
Seiryu,	2,	86,	49
Seiryu,	3,	329,	89
Seiryu,	4,	143,	16
Seiryu,	5,	489,	29
iFran,	1,	17,	13
iFran,	2,	94,	33
iFran,	3,	116,	21
iFran,	4,	168,	20
iFran,	5,	332,	49
kishiro,	1,	41,	27
kishiro,	2,	130,	30
kishiro,	3,	127,	48
kishiro,	4,	178,	14
kishiro,	5,	197,	33
unoriginal,	1,	40,	12
unoriginal,	2,	86,	23
unoriginal,	3,	121,	41
max,	1,	77,	51
max,	2,	61,	27
